day_of_week,hour_of_day,category,items_count
1,17,ice cream ice,45
1,12,eggs,21
1,12,tortillas flat bread,9
1,20,poultry counter,3
1,2,breakfast bakery,3
2,17,water seltzer sparkling water,60
2,18,oils vinegars,12
2,19,poultry counter,9
2,9,dog food care,3
2,6,frozen vegan vegetarian,3
2,23,canned meals beans,3
3,23,fresh vegetables,30
3,20,soy lactosefree,14
3,4,pickled goods olives,2
3,11,breakfast bars pastries,2
0,14,breakfast bars pastries,12
0,9,spices seasonings,27
0,12,cream,33
0,21,juice nectars,6
0,18,prepared meals,18
0,13,refrigerated pudding desserts,6
0,7,ice cream ice,12
0,18,breakfast bakery,15
1,9,bread,24
1,18,milk,36
1,14,butter,30
1,11,canned jarred vegetables,9
1,21,lunch meat,6
1,7,soy lactosefree,21
2,0,milk,6
2,16,energy granola bars,18
2,13,soup broth bouillon,21
2,22,frozen meals,3
2,19,soup broth bouillon,12
3,10,meat counter,8
3,1,paper goods,4
3,14,condiments,2
3,13,laundry,4
3,16,fruit vegetable snacks,2
0,19,bread,36
0,17,fresh dips tapenades,24
0,14,condiments,27
0,16,lunch meat,51
0,10,baby food formula,36
0,10,doughs gelatins bake mixes,15
0,9,fresh pasta,3
0,9,latino foods,3
0,14,oral hygiene,3
1,16,spices seasonings,15
1,18,frozen appetizers sides,12
1,18,frozen produce,30
1,9,nuts seeds dried fruit,27
1,17,other creams cheeses,9
1,16,tortillas flat bread,9
1,14,air fresheners candles,3
1,11,candy chocolate,15
1,2,specialty cheeses,3
2,15,chips pretzels,36
2,13,bread,21
2,15,soy lactosefree,33
2,10,grains rice dried goods,9
2,13,frozen vegan vegetarian,6
2,4,baby food formula,9
2,0,frozen appetizers sides,3
2,22,frozen appetizers sides,3
2,6,energy sports drinks,6
3,10,specialty cheeses,6
3,13,cream,20
3,8,dry pasta,4
3,23,oils vinegars,8
3,17,coffee,12
3,22,crackers,6
3,10,body lotions soap,2
3,12,fresh fruits,54
3,17,packaged produce,2
3,19,prepared meals,4
3,15,energy sports drinks,2
0,16,fresh vegetables,483
0,13,feminine care,3
0,14,packaged cheese,81
0,9,buns rolls,9
0,5,fresh vegetables,54
0,5,prepared meals,3
0,16,asian foods,27
0,8,fresh dips tapenades,12
0,16,fresh pasta,3
0,21,dish detergents,3
0,23,other creams cheeses,3
1,10,fresh dips tapenades,24
1,6,butter,6
1,15,energy granola bars,39
1,7,food storage,3
1,18,eye ear care,3
2,18,frozen produce,12
2,16,oral hygiene,6
2,12,poultry counter,3
2,23,fruit vegetable snacks,3
3,7,juice nectars,6
3,9,juice nectars,8
3,23,granola,2
3,7,cookies cakes,6
3,9,frozen meat seafood,2
3,22,baking ingredients,2
3,8,tortillas flat bread,2
3,21,nuts seeds dried fruit,4
3,18,granola,2
3,15,fresh herbs,4
0,18,baby food formula,9
0,20,fresh vegetables,114
0,17,frozen produce,30
0,9,cereal,24
0,15,fresh pasta,6
0,16,eye ear care,3
0,20,dog food care,3
1,16,soup broth bouillon,21
1,10,fresh herbs,12
1,9,lunch meat,27
1,0,spices seasonings,3
1,14,frozen appetizers sides,18
1,10,breakfast bakery,18
1,10,canned meat seafood,3
1,16,prepared meals,3
2,18,eggs,18
2,12,missing,3
2,23,butter,3
2,12,packaged produce,12
2,13,muscles joints pain relief,9
2,8,frozen breakfast,12
2,14,spices seasonings,15
2,10,hot cereal pancake mixes,6
3,10,yogurt,38
3,13,condiments,4
3,8,eggs,6
3,18,coffee,8
3,8,soup broth bouillon,4
3,14,water seltzer sparkling water,22
3,18,energy granola bars,6
3,9,crackers,10
3,12,frozen meat seafood,2
3,7,granola,6
3,18,cocoa drink mixes,2
3,8,nuts seeds dried fruit,4
3,13,spreads,4
3,12,fresh pasta,2
0,12,fresh fruits,420
0,17,paper goods,21
0,21,yogurt,36
0,19,instant foods,12
0,12,breakfast bakery,9
0,13,doughs gelatins bake mixes,12
0,16,kosher foods,3
0,18,food storage,3
0,10,more household,3
0,16,trash bags liners,9
1,16,latino foods,6
1,12,crackers,15
1,9,hot cereal pancake mixes,9
1,18,cleaning products,3
1,21,canned meat seafood,3
1,15,frozen meat seafood,3
1,7,first aid,3
2,15,pickled goods olives,6
2,8,refrigerated,3
2,11,fresh dips tapenades,24
2,13,frozen pizza,6
2,13,instant foods,12
2,19,cream,15
2,0,paper goods,3
2,9,plates bowls cups flatware,9
3,18,cereal,10
3,18,fresh fruits,52
3,13,energy granola bars,24
3,16,preserved dips spreads,2
3,13,butter,8
3,0,trail mix snack mix,2
3,19,canned meals beans,2
3,19,tofu meat alternatives,2
3,9,poultry counter,2
0,8,hot dogs bacon sausage,21
0,22,eggs,6
0,20,baking ingredients,9
0,20,paper goods,3
0,12,preserved dips spreads,15
0,3,butter,3
1,17,pasta sauce,18
1,15,fresh dips tapenades,12
1,17,lunch meat,30
1,23,paper goods,3
2,7,frozen breads doughs,3
2,13,cookies cakes,9
2,10,indian foods,6
2,14,hot cereal pancake mixes,3
2,13,indian foods,3
3,22,lunch meat,10
3,15,frozen pizza,8
3,8,energy sports drinks,2
3,8,canned meals beans,6
3,9,coffee,6
3,18,laundry,4
3,5,yogurt,4
3,12,refrigerated,2
3,13,oils vinegars,8
3,5,frozen meals,2
3,16,body lotions soap,2
3,6,tea,2
3,16,lunch meat,6
0,16,soup broth bouillon,30
0,17,oral hygiene,18
0,17,milk,66
0,13,condiments,33
0,11,more household,6
0,7,candy chocolate,3
0,6,frozen meals,6
0,6,asian foods,3
1,15,milk,39
1,11,oils vinegars,6
1,6,bread,6
1,10,dry pasta,9
1,15,spreads,27
1,8,asian foods,6
1,11,spices seasonings,3
2,15,more household,3
2,5,frozen breakfast,6
2,4,juice nectars,15
2,6,canned meals beans,3
2,21,water seltzer sparkling water,6
2,17,honeys syrups nectars,6
3,13,lunch meat,8
3,22,pickled goods olives,6
3,15,candy chocolate,12
3,20,coffee,4
3,22,soup broth bouillon,6
3,13,muscles joints pain relief,2
3,13,oral hygiene,2
3,4,condiments,2
0,1,fresh vegetables,24
0,8,juice nectars,9
0,9,body lotions soap,12
0,14,seafood counter,12
0,17,muscles joints pain relief,3
0,11,breakfast bakery,27
0,23,crackers,9
1,8,missing,6
1,6,eggs,3
1,19,frozen breakfast,9
1,9,latino foods,9
1,7,hot dogs bacon sausage,6
1,9,spirits,3
2,9,yogurt,72
2,16,baking ingredients,12
2,9,diapers wipes,3
2,9,packaged poultry,3
2,18,prepared meals,3
2,17,frozen dessert,3
2,20,cereal,6
3,17,missing,8
3,13,baking ingredients,18
3,13,crackers,24
3,9,vitamins supplements,2
3,20,canned meals beans,8
3,22,nuts seeds dried fruit,2
0,11,packaged cheese,96
0,16,instant foods,15
0,11,canned jarred vegetables,18
0,19,breakfast bakery,15
0,10,frozen vegan vegetarian,6
0,16,granola,9
0,16,laundry,6
1,11,yogurt,48
1,17,cream,21
1,16,baby food formula,9
1,9,cereal,66
1,11,nuts seeds dried fruit,12
1,20,specialty cheeses,3
1,7,vitamins supplements,3
1,8,canned meals beans,12
2,14,ice cream ice,24
2,8,preserved dips spreads,6
2,19,condiments,21
2,6,packaged cheese,6
2,8,canned meals beans,15
2,20,cream,12
2,18,other creams cheeses,12
2,10,canned meals beans,15
2,9,dry pasta,3
2,7,other,6
2,8,popcorn jerky,3
3,13,frozen appetizers sides,6
3,19,canned fruit applesauce,8
3,9,oral hygiene,2
3,20,soft drinks,8
3,18,spices seasonings,2
0,15,marinades meat preparation,12
0,14,fresh vegetables,468
0,13,cookies cakes,15
0,15,kitchen supplies,6
0,17,baby food formula,24
0,19,canned meals beans,6
0,13,marinades meat preparation,9
1,17,candy chocolate,9
1,10,cream,33
1,1,fresh vegetables,12
1,11,tea,12
1,14,poultry counter,3
2,22,cereal,9
2,19,refrigerated,33
2,9,bread,27
2,6,packaged vegetables fruits,6
3,8,packaged poultry,4
3,18,hot dogs bacon sausage,8
3,22,other creams cheeses,8
3,12,pickled goods olives,8
3,22,yogurt,18
3,20,lunch meat,4
3,8,soap,2
3,9,packaged poultry,6
3,8,protein meal replacements,2
3,10,baking ingredients,2
3,18,buns rolls,2
0,8,packaged vegetables fruits,126
0,11,packaged produce,21
0,8,soy lactosefree,21
0,14,fresh dips tapenades,24
0,17,baking ingredients,6
0,11,beauty,3
0,9,cookies cakes,6
1,15,hot dogs bacon sausage,18
1,20,tofu meat alternatives,3
1,10,packaged cheese,42
1,12,energy granola bars,21
1,9,dry pasta,6
1,19,fresh dips tapenades,18
1,9,cat food care,3
2,9,packaged vegetables fruits,87
2,16,packaged cheese,45
2,6,refrigerated,3
3,15,baking ingredients,16
3,10,fruit vegetable snacks,8
3,9,ice cream toppings,2
3,7,soy lactosefree,2
3,0,laundry,4
3,17,trash bags liners,4
3,15,food storage,2
3,22,baby accessories,2
3,0,eggs,4
3,8,cream,10
0,16,water seltzer sparkling water,42
0,10,yogurt,156
0,18,refrigerated,24
0,5,packaged cheese,3
0,16,vitamins supplements,3
0,16,frozen breads doughs,3
1,21,fresh fruits,81
1,20,packaged vegetables fruits,60
1,12,soy lactosefree,21
1,12,nuts seeds dried fruit,6
1,10,dish detergents,3
1,20,tea,6
1,19,digestion,3
1,22,canned fruit applesauce,3
1,8,vitamins supplements,6
2,12,instant foods,12
2,7,nuts seeds dried fruit,9
2,15,hot dogs bacon sausage,3
2,20,tea,3
2,2,eggs,3
2,0,lunch meat,3
2,23,energy sports drinks,3
2,11,cat food care,3
2,15,hair care,9
2,12,bulk dried fruits vegetables,3
3,15,chips pretzels,18
3,7,condiments,4
3,23,tortillas flat bread,4
3,5,fruit vegetable snacks,2
3,15,lunch meat,16
3,7,canned meat seafood,4
3,9,food storage,2
3,20,spices seasonings,4
3,20,baby food formula,4
3,13,first aid,2
3,9,breakfast bakery,4
0,19,yogurt,63
0,15,packaged poultry,15
0,15,soft drinks,9
0,16,juice nectars,30
0,13,plates bowls cups flatware,3
0,18,cookies cakes,9
0,17,fruit vegetable snacks,3
0,7,meat counter,3
1,11,frozen produce,18
1,21,canned fruit applesauce,3
1,12,breakfast bakery,6
1,15,cocoa drink mixes,6
1,10,beers coolers,3
2,9,canned meals beans,21
2,8,fresh herbs,12
2,13,granola,15
2,22,marinades meat preparation,6
2,11,tortillas flat bread,6
2,8,soft drinks,6
2,10,canned jarred vegetables,12
2,4,tortillas flat bread,3
3,8,milk,30
3,14,hot dogs bacon sausage,4
3,22,chips pretzels,14
3,0,frozen breakfast,4
3,8,spreads,4
3,17,fresh dips tapenades,8
3,2,cleaning products,4
3,21,packaged produce,2
0,12,spreads,33
0,22,canned meals beans,3
0,6,candy chocolate,3
0,6,laundry,3
0,16,frozen pizza,12
0,20,refrigerated,12
0,19,oils vinegars,9
1,8,fresh vegetables,129
1,14,water seltzer sparkling water,78
1,16,crackers,54
1,8,refrigerated,36
1,15,packaged poultry,6
1,9,seafood counter,3
1,8,granola,3
1,0,milk,3
2,18,cookies cakes,24
2,18,preserved dips spreads,12
2,14,digestion,6
2,18,frozen breads doughs,3
2,17,kosher foods,3
3,16,prepared meals,6
3,14,grains rice dried goods,4
3,16,buns rolls,6
3,13,juice nectars,10
3,9,frozen appetizers sides,4
3,9,hair care,2
3,14,kitchen supplies,2
0,10,tortillas flat bread,9
0,13,frozen meals,27
0,14,lunch meat,39
0,14,other,9
0,10,water seltzer sparkling water,81
0,1,lunch meat,3
0,15,frozen vegan vegetarian,24
0,17,packaged cheese,66
0,19,canned meat seafood,3
0,22,kitchen supplies,3
0,2,refrigerated,3
0,0,fresh vegetables,12
1,17,butter,3
1,13,oils vinegars,6
1,7,salad dressing toppings,6
1,14,packaged poultry,9
1,10,soy lactosefree,24
1,21,eggs,3
1,14,other,6
2,8,water seltzer sparkling water,33
2,22,cookies cakes,6
2,20,honeys syrups nectars,3
2,10,coffee,9
2,4,dry pasta,3
2,10,butter,9
3,23,milk,8
3,19,cookies cakes,8
3,17,canned meat seafood,2
3,20,pasta sauce,4
3,20,mint gum,2
3,20,feminine care,2
3,20,food storage,2
0,12,coffee,39
0,13,tortillas flat bread,27
0,14,canned fruit applesauce,9
0,11,frozen appetizers sides,36
0,21,instant foods,15
0,12,frozen pizza,36
0,15,coffee,18
0,22,canned jarred vegetables,9
0,11,oral hygiene,9
0,7,water seltzer sparkling water,6
0,19,eye ear care,3
0,19,pasta sauce,18
0,16,bulk dried fruits vegetables,3
1,17,nuts seeds dried fruit,21
1,9,fruit vegetable snacks,15
1,1,pickled goods olives,6
1,18,fresh herbs,15
1,0,paper goods,3
2,7,water seltzer sparkling water,21
2,18,facial care,3
2,10,kitchen supplies,3
2,20,nuts seeds dried fruit,9
2,9,baking ingredients,12
2,17,frozen meat seafood,3
2,16,facial care,3
2,17,packaged meat,3
2,0,dog food care,3
2,10,ice cream toppings,3
2,17,paper goods,3
3,16,facial care,2
3,23,ice cream ice,8
3,9,baking ingredients,6
3,13,cleaning products,10
3,10,grains rice dried goods,4
3,18,canned jarred vegetables,6
3,16,baby food formula,6
3,16,hot cereal pancake mixes,6
3,16,digestion,2
3,1,breakfast bakery,4
3,15,hot dogs bacon sausage,2
0,16,breakfast bakery,30
0,17,yogurt,105
0,19,frozen produce,15
0,17,packaged produce,12
0,11,honeys syrups nectars,9
0,13,fruit vegetable snacks,6
0,22,spreads,6
0,0,frozen dessert,3
0,12,kosher foods,3
1,6,ice cream ice,9
1,10,hot dogs bacon sausage,6
2,7,canned jarred vegetables,3
2,0,fresh fruits,15
2,19,energy sports drinks,15
2,8,frozen meat seafood,3
2,16,dry pasta,15
2,9,baby food formula,33
2,15,air fresheners candles,3
2,14,packaged poultry,3
3,15,coffee,6
3,7,dry pasta,6
3,16,milk,12
3,11,eggs,4
3,22,candy chocolate,6
3,15,instant foods,16
0,14,salad dressing toppings,15
0,14,oils vinegars,18
0,17,pasta sauce,30
0,7,nuts seeds dried fruit,12
0,2,eggs,3
0,16,diapers wipes,3
1,15,oral hygiene,6
1,13,canned jarred vegetables,42
1,18,soap,6
1,13,frozen breads doughs,6
1,17,trail mix snack mix,3
1,14,preserved dips spreads,15
1,11,energy sports drinks,3
2,21,fresh vegetables,33
2,12,bread,15
2,22,fresh fruits,39
2,9,baby accessories,3
2,10,doughs gelatins bake mixes,9
2,14,condiments,12
2,18,coffee,6
2,23,popcorn jerky,3
3,0,packaged produce,2
3,19,breakfast bakery,8
3,19,trash bags liners,2
3,17,breakfast bakery,6
3,14,ice cream ice,18
3,17,canned jarred vegetables,10
3,13,spirits,4
3,15,frozen breakfast,4
0,8,fresh vegetables,141
0,12,instant foods,24
0,12,chips pretzels,72
0,16,cleaning products,21
0,5,milk,3
0,21,popcorn jerky,3
0,17,seafood counter,6
0,19,frozen breads doughs,3
0,12,shave needs,3
1,17,chips pretzels,45
1,13,packaged cheese,36
1,10,preserved dips spreads,6
1,14,ice cream ice,24
1,9,spreads,18
1,9,buns rolls,6
1,23,prepared meals,3
2,13,yogurt,129
2,14,water seltzer sparkling water,93
2,9,paper goods,21
2,14,soy lactosefree,48
2,6,vitamins supplements,6
2,12,lunch meat,18
2,22,bread,6
2,20,other,3
2,19,soft drinks,6
2,10,prepared meals,9
2,16,red wines,9
2,7,grains rice dried goods,6
2,23,energy granola bars,6
2,20,breakfast bars pastries,3
3,9,eggs,10
3,10,popcorn jerky,10
3,14,canned fruit applesauce,2
3,7,canned fruit applesauce,2
3,16,packaged cheese,20
3,14,dry pasta,14
3,18,juice nectars,8
3,20,fresh pasta,2
0,16,other creams cheeses,33
0,15,cream,33
0,12,packaged produce,6
0,17,soy lactosefree,39
0,13,frozen appetizers sides,45
0,9,spreads,15
0,18,other creams cheeses,18
0,11,spreads,33
1,16,diapers wipes,3
1,8,oils vinegars,18
1,16,fruit vegetable snacks,15
1,16,eggs,30
1,7,fruit vegetable snacks,3
1,18,trash bags liners,6
1,16,feminine care,6
2,12,specialty cheeses,9
2,13,ice cream ice,15
2,22,packaged cheese,36
2,10,frozen meals,24
2,9,cream,27
2,19,tortillas flat bread,9
2,13,dry pasta,9
2,5,laundry,3
2,13,beers coolers,6
3,19,instant foods,6
3,19,soy lactosefree,8
3,16,dish detergents,4
3,6,fresh vegetables,12
3,12,honeys syrups nectars,2
3,15,other creams cheeses,6
3,10,breakfast bars pastries,4
0,16,packaged vegetables fruits,210
0,19,crackers,24
0,22,dry pasta,3
0,11,breakfast bars pastries,9
0,5,spices seasonings,3
0,18,chips pretzels,24
0,14,baking supplies decor,3
0,8,buns rolls,9
0,11,latino foods,12
0,11,other creams cheeses,36
0,6,canned meals beans,3
0,20,pasta sauce,6
0,18,granola,6
0,20,soup broth bouillon,9
0,18,dog food care,3
0,6,oral hygiene,3
1,16,packaged meat,3
1,20,crackers,36
1,1,packaged vegetables fruits,18
1,6,frozen breakfast,3
1,9,pickled goods olives,3
2,10,nuts seeds dried fruit,21
2,6,fresh dips tapenades,3
2,16,salad dressing toppings,3
2,20,specialty cheeses,3
3,8,frozen breakfast,6
3,17,fresh herbs,10
3,13,pasta sauce,16
3,11,other creams cheeses,8
3,14,soap,2
3,9,granola,2
3,9,frozen breads doughs,2
3,15,refrigerated,6
3,15,spreads,10
3,22,missing,2
0,22,spices seasonings,3
0,11,eggs,66
0,15,dog food care,3
0,22,coffee,9
0,18,fruit vegetable snacks,6
0,19,buns rolls,9
0,20,packaged vegetables fruits,51
0,10,preserved dips spreads,9
0,16,salad dressing toppings,3
1,13,crackers,15
1,12,popcorn jerky,12
1,10,frozen pizza,15
1,18,candy chocolate,6
1,17,breakfast bakery,15
1,12,other creams cheeses,3
1,8,breakfast bars pastries,3
2,21,crackers,6
2,16,yogurt,60
2,7,canned meat seafood,3
2,21,baking ingredients,6
2,19,pickled goods olives,3
2,17,missing,9
2,13,packaged produce,12
2,2,fresh vegetables,9
2,4,frozen meals,9
3,17,instant foods,8
3,13,feminine care,2
3,0,preserved dips spreads,2
3,8,fresh herbs,4
3,16,soup broth bouillon,4
3,20,cream,2
3,17,laundry,6
0,13,fresh dips tapenades,36
0,21,energy granola bars,12
0,21,tortillas flat bread,3
0,15,asian foods,27
0,12,frozen appetizers sides,9
0,0,canned meals beans,3
0,10,cat food care,3
0,23,juice nectars,6
0,6,instant foods,3
1,11,packaged cheese,42
1,17,cookies cakes,6
1,11,fruit vegetable snacks,6
1,10,yogurt,72
1,7,frozen produce,15
1,11,soup broth bouillon,18
1,8,cookies cakes,9
1,13,other,3
2,16,ice cream ice,18
2,7,dry pasta,6
2,11,candy chocolate,27
2,19,canned meat seafood,3
2,10,bakery desserts,6
2,0,packaged produce,3
2,11,vitamins supplements,3
2,10,cat food care,6
3,13,water seltzer sparkling water,26
3,9,packaged vegetables fruits,22
3,21,crackers,6
3,14,white wines,2
3,16,butter,4
0,19,fresh vegetables,144
0,15,yogurt,102
0,11,tofu meat alternatives,30
0,11,yogurt,162
0,11,tortillas flat bread,18
0,12,canned jarred vegetables,33
0,15,energy granola bars,54
0,22,crackers,3
0,17,diapers wipes,3
0,8,frozen vegan vegetarian,3
1,10,nuts seeds dried fruit,30
1,16,juice nectars,12
1,21,spreads,9
1,8,frozen appetizers sides,21
1,9,soap,3
2,15,canned meat seafood,6
2,7,frozen breakfast,15
2,18,packaged cheese,45
2,7,baby bath body care,3
2,4,fresh dips tapenades,9
3,19,missing,4
3,7,trail mix snack mix,2
3,6,packaged poultry,2
3,9,beers coolers,4
3,15,latino foods,2
3,8,meat counter,4
3,22,tortillas flat bread,2
0,15,fresh vegetables,420
0,11,milk,78
0,14,frozen appetizers sides,24
0,21,pickled goods olives,6
0,6,crackers,3
1,19,fresh herbs,6
1,13,eggs,15
1,20,soft drinks,12
1,13,tortillas flat bread,6
1,8,lunch meat,9
1,17,preserved dips spreads,6
2,15,latino foods,12
2,19,milk,27
2,11,body lotions soap,9
2,20,hot cereal pancake mixes,12
2,17,meat counter,3
2,12,cereal,18
2,18,granola,6
2,11,specialty cheeses,3
3,22,trail mix snack mix,4
3,14,fresh vegetables,96
3,15,mint gum,4
3,14,marinades meat preparation,2
3,7,hot cereal pancake mixes,4
3,6,packaged cheese,2
3,14,fresh dips tapenades,4
3,14,prepared meals,2
3,11,food storage,4
3,17,first aid,2
3,8,beers coolers,2
3,20,digestion,2
3,0,energy granola bars,2
0,8,fruit vegetable snacks,18
0,13,fresh fruits,327
0,18,fresh vegetables,189
0,21,buns rolls,3
0,13,canned meals beans,48
0,7,soft drinks,12
0,12,doughs gelatins bake mixes,6
1,17,frozen meals,12
1,11,other,3
1,9,breakfast bakery,12
1,16,cream,9
1,15,packaged produce,21
1,17,frozen vegan vegetarian,9
1,16,tea,6
1,19,salad dressing toppings,15
2,22,asian foods,3
2,8,breakfast bakery,24
2,5,marinades meat preparation,3
2,18,doughs gelatins bake mixes,3
3,11,bread,16
3,18,beers coolers,6
3,17,diapers wipes,2
0,10,refrigerated,60
0,10,dish detergents,12
0,12,seafood counter,3
0,8,tea,12
0,20,fresh herbs,6
0,18,popcorn jerky,6
0,12,bulk grains rice dried goods,3
0,8,oils vinegars,12
0,0,packaged vegetables fruits,18
0,14,more household,3
1,21,soy lactosefree,27
1,18,packaged produce,12
1,23,laundry,3
1,12,canned fruit applesauce,3
1,7,poultry counter,3
1,7,soap,3
1,7,water seltzer sparkling water,6
1,12,frozen breads doughs,3
2,10,tea,24
2,7,laundry,3
2,18,cream,6
2,23,refrigerated,6
2,22,tortillas flat bread,6
3,19,bread,22
3,13,frozen meals,22
3,20,cleaning products,2
3,16,cookies cakes,4
0,22,butter,3
0,16,frozen vegan vegetarian,9
0,16,popcorn jerky,27
0,18,hair care,3
0,11,pasta sauce,33
0,17,energy sports drinks,9
0,2,canned meals beans,3
0,12,honeys syrups nectars,9
0,8,canned fruit applesauce,6
0,8,honeys syrups nectars,6
0,20,protein meal replacements,3
0,13,deodorants,3
0,19,indian foods,3
1,12,fresh herbs,30
1,20,frozen breakfast,9
1,18,ice cream ice,9
1,23,hair care,6
1,20,canned meals beans,3
1,11,frozen meals,3
2,13,milk,42
2,23,kitchen supplies,3
2,17,cookies cakes,21
2,9,granola,12
2,14,asian foods,12
2,12,prepared meals,9
2,13,doughs gelatins bake mixes,6
2,9,instant foods,9
2,16,canned meals beans,3
2,18,frozen appetizers sides,9
3,19,milk,26
3,23,fresh fruits,30
3,7,other creams cheeses,6
3,10,packaged cheese,14
3,22,frozen vegan vegetarian,2
3,6,dish detergents,2
3,18,bulk dried fruits vegetables,2
0,0,packaged cheese,9
0,19,frozen pizza,12
0,10,spreads,21
0,21,candy chocolate,6
0,15,cookies cakes,15
0,14,protein meal replacements,6
0,8,water seltzer sparkling water,33
0,20,canned meals beans,6
0,20,cookies cakes,6
0,12,granola,3
0,23,energy sports drinks,6
0,23,meat counter,6
1,1,lunch meat,6
1,21,tortillas flat bread,6
1,15,packaged meat,3
1,15,pasta sauce,12
1,12,baking ingredients,9
1,10,body lotions soap,6
2,13,fresh vegetables,198
2,18,canned jarred vegetables,30
2,17,frozen pizza,12
2,19,yogurt,27
2,11,energy sports drinks,24
2,22,ice cream ice,24
2,22,hot cereal pancake mixes,3
2,9,first aid,3
2,18,buns rolls,3
2,20,frozen appetizers sides,3
3,15,soft drinks,14
3,18,lunch meat,16
3,5,eggs,2
3,17,ice cream toppings,2
3,18,hot cereal pancake mixes,4
0,5,buns rolls,3
0,21,breakfast bakery,6
0,17,chips pretzels,15
0,9,fruit vegetable snacks,12
1,11,frozen pizza,15
1,14,oral hygiene,3
1,19,oils vinegars,3
1,9,tofu meat alternatives,12
2,12,ice cream ice,27
2,18,canned fruit applesauce,9
2,13,missing,21
2,22,crackers,27
2,22,poultry counter,3
2,13,meat counter,3
2,14,missing,9
2,10,canned fruit applesauce,3
2,19,frozen pizza,3
2,14,tofu meat alternatives,9
3,23,energy sports drinks,2
3,19,frozen meat seafood,2
3,14,packaged produce,2
3,21,packaged cheese,6
3,12,canned meat seafood,4
0,8,paper goods,18
0,9,fresh vegetables,258
0,13,hot dogs bacon sausage,24
0,18,pasta sauce,18
0,8,bread,24
0,8,energy sports drinks,6
0,16,hot dogs bacon sausage,24
0,9,prepared meals,12
0,16,tofu meat alternatives,18
0,11,feminine care,3
1,9,ice cream ice,21
1,16,tofu meat alternatives,15
1,12,yogurt,51
1,14,eggs,18
1,13,prepared soups salads,6
1,7,spreads,12
2,15,dry pasta,21
2,19,cereal,6
2,17,fresh herbs,9
2,16,frozen breakfast,3
2,14,dry pasta,9
2,4,cereal,12
2,17,hot dogs bacon sausage,9
2,9,prepared meals,3
3,7,yogurt,10
3,5,laundry,2
3,19,chips pretzels,12
3,2,fresh vegetables,16
3,15,baby bath body care,4
0,12,missing,33
0,10,nuts seeds dried fruit,18
0,13,frozen breakfast,21
0,14,frozen breakfast,24
0,19,honeys syrups nectars,6
0,8,frozen breakfast,9
0,20,fresh fruits,84
0,22,condiments,6
0,13,canned meat seafood,9
0,9,protein meal replacements,6
0,15,prepared meals,6
0,13,tea,12
0,0,bakery desserts,3
1,15,packaged vegetables fruits,114
1,17,packaged produce,15
1,11,frozen dessert,6
1,16,seafood counter,3
1,10,grains rice dried goods,3
1,10,buns rolls,3
2,18,fresh vegetables,252
2,15,packaged vegetables fruits,51
2,15,grains rice dried goods,12
2,10,refrigerated,27
2,11,ice cream ice,27
2,18,fruit vegetable snacks,15
2,13,frozen dessert,3
2,19,baking ingredients,15
2,15,laundry,6
3,8,missing,4
3,17,milk,26
3,7,milk,12
3,14,cereal,8
3,18,frozen meals,10
3,22,condiments,2
0,10,fruit vegetable snacks,27
0,12,hot cereal pancake mixes,12
0,7,frozen meals,9
0,16,cat food care,9
0,19,doughs gelatins bake mixes,6
0,20,frozen meat seafood,6
1,18,packaged cheese,27
1,22,baby food formula,3
1,9,juice nectars,21
1,19,yogurt,21
1,13,cream,9
1,20,juice nectars,3
2,14,food storage,3
2,7,energy granola bars,15
2,17,milk,33
2,8,packaged poultry,3
2,14,oral hygiene,6
2,12,dog food care,3
2,22,frozen breakfast,3
2,6,butter,3
2,8,prepared meals,3
3,22,hot cereal pancake mixes,2
3,12,vitamins supplements,4
3,10,paper goods,6
3,20,tofu meat alternatives,4
3,20,spreads,4
3,10,tea,8
3,6,buns rolls,2
3,8,laundry,4
0,19,packaged poultry,9
0,22,other creams cheeses,6
0,9,hot cereal pancake mixes,15
0,8,air fresheners candles,3
0,17,honeys syrups nectars,3
0,7,breakfast bakery,12
0,20,packaged meat,6
0,20,laundry,3
1,10,chips pretzels,33
1,21,packaged cheese,33
1,12,air fresheners candles,3
1,0,dry pasta,3
1,11,coffee,12
1,8,energy sports drinks,9
2,9,prepared soups salads,3
2,7,instant foods,12
2,19,frozen vegan vegetarian,12
2,0,packaged vegetables fruits,3
2,11,feminine care,3
2,7,refrigerated,9
2,20,milk,6
2,20,cookies cakes,6
2,15,body lotions soap,3
3,12,butter,8
3,5,packaged cheese,2
3,23,soup broth bouillon,2
3,16,crackers,6
3,11,chips pretzels,22
3,1,packaged produce,2
0,15,tofu meat alternatives,21
0,12,canned meals beans,36
0,8,breakfast bakery,6
0,19,lunch meat,9
1,10,popcorn jerky,12
1,6,soup broth bouillon,6
1,16,condiments,6
1,10,fresh pasta,3
1,2,fresh vegetables,27
2,13,water seltzer sparkling water,60
2,11,juice nectars,6
2,17,tofu meat alternatives,12
2,10,honeys syrups nectars,3
2,11,salad dressing toppings,6
2,8,butter,3
2,20,asian foods,9
2,18,vitamins supplements,3
2,14,hair care,3
3,15,frozen appetizers sides,2
3,17,refrigerated,12
3,8,fruit vegetable snacks,2
3,10,frozen produce,14
3,11,pasta sauce,2
3,13,specialty wines champagnes,2
3,16,specialty wines champagnes,4
0,10,packaged cheese,114
0,13,packaged meat,3
0,11,crackers,51
0,13,oils vinegars,21
0,21,canned fruit applesauce,9
0,9,pickled goods olives,6
